ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt,Maturity
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4475,10,European,182.7,184.7,16.8550282,0.643293664,183.5968507,0.871506955,1.89531965,0.000970829,-1.190131649,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4475,10,European,9.6,9.9,16.8550282,0.643293664,9.742124939,-0.1236668,1.89531965,0.000970829,-1.190131649,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4500,10,European,160.2,162,16.21366297,0.643293664,160.9607908,0.843411102,2.17938979,0.001215331,-1.378637698,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4500,10,European,11.9,12.3,16.21366297,0.643293664,12.06214363,-0.151762653,2.17938979,0.001215331,-1.378637698,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4525,10,European,138.2,140,15.59320845,0.643293664,138.9881349,0.808532573,2.488776012,0.001512082,-1.586498667,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4525,10,European,14.9,15.3,15.59320845,0.643293664,15.0455664,-0.186641182,2.488776012,0.001512082,-1.586498667,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4550,10,European,117.2,118.9,15.00480343,0.643293664,117.8958993,0.765492936,2.812669193,0.001862091,-1.809068295,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4550,10,European,18.8,19.2,15.00480343,0.643293664,18.90940946,-0.229680818,2.812669193,0.001862091,-1.809068295,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4575,10,European,97.2,98.8,14.45934214,0.643293664,97.95307303,0.713105522,3.130463073,0.002248542,-2.028576878,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4575,10,European,23.7,24.2,14.45934214,0.643293664,23.92266186,-0.282068233,3.130463073,0.002248542,-2.028576878,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4600,10,European,78.7,80.2,13.95614066,0.643293664,79.43483152,0.650891024,3.409744387,0.002639883,-2.218751726,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4600,10,European,30,30.6,13.95614066,0.643293664,30.360499,-0.344282731,3.409744387,0.002639883,-2.218751726,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4625,10,European,62,63.2,13.49452851,0.643293664,62.62901684,0.579289301,3.609876014,0.002992468,-2.351464568,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4625,10,European,38,38.6,13.49452851,0.643293664,38.51076297,-0.415884454,3.609876014,0.002992468,-2.351464568,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4650,10,European,47.5,48,13.1020487,0.643293664,47.90890241,0.500022087,3.688183501,0.003237324,-2.398048492,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4650,10,European,48.2,48.9,13.1020487,0.643293664,48.7467272,-0.495151668,3.688183501,0.003237324,-2.398048492,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4675,10,European,35.2,35.8,12.805653,0.643293664,35.57691896,0.416953186,3.611920181,0.003300746,-2.335656872,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4675,10,European,61,61.7,12.805653,0.643293664,61.37082239,-0.578220569,3.611920181,0.003300746,-2.335656872,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4700,10,European,25.5,26,12.60381662,0.643293664,25.68141662,0.335390742,3.376006171,0.003151671,-2.16042135,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4700,10,European,75.8,77.2,12.60381662,0.643293664,76.43139871,-0.659783013,3.376006171,0.003151671,-2.16042135,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4725,10,European,18,18.5,12.49504431,0.643293664,18.09101125,0.26059342,3.009779195,0.002819939,-1.899803495,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4725,10,European,93.1,94.7,12.49504431,0.643293664,93.79707199,-0.734580335,3.009779195,0.002819939,-1.899803495,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4750,10,European,12.4,12.8,12.46517368,0.643293664,12.48685,0.196229009,2.566201496,0.002378025,-1.594433976,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4750,10,European,112.3,114,12.46517368,0.643293664,113.1489894,-0.798944746,2.566201496,0.002378025,-1.594433976,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4775,10,European,8.3,8.7,12.50033672,0.643293664,8.482564079,0.143857416,2.102805902,0.001900821,-1.281675432,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4775,10,European,133.1,134.9,12.50033672,0.643293664,134.1007821,-0.851316339,2.102805902,0.001900821,-1.281675432,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4800,10,European,5.5,5.9,12.59951634,0.643293664,5.715466897,0.103407244,1.668408124,0.00144818,-0.992027618,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4800,10,European,155.1,157.1,12.59951634,0.643293664,156.2897636,-0.89176651,1.668408124,0.00144818,-0.992027618,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4825,10,European,3.6,4,12.76171477,0.643293664,3.853436276,0.07350754,1.293530548,0.001060061,-0.744975942,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4825,10,European,178.2,180.2,12.76171477,0.643293664,179.3838116,-0.921666215,1.293530548,0.001060061,-0.744975942,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4850,10,European,2.4,2.7,12.98767156,0.643293664,2.625284104,0.052178298,0.99020851,0.000752023,-0.5473774,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
