,Instrument,Date,Maturity,PUTCALLIND,Strike,Close,Imp_Vol
289,/GDAX132000F0.EX,15/05/2020,19/06/2020,CALL,13200,0.8,28.21
290,/GDAX132000R0.EX,15/05/2020,19/06/2020,PUT ,13200,2886,30.21
291,/GDAX132500F0.EX,15/05/2020,19/06/2020,CALL,13250,0.8,28.61
292,/GDAX132500R0.EX,15/05/2020,19/06/2020,PUT ,13250,2936,30.45
293,/GDAX133000F0.EX,15/05/2020,19/06/2020,CALL,13300,0.7,28.76
294,/GDAX133000R0.EX,15/05/2020,19/06/2020,PUT ,13300,2986,30.85
295,/GDAX133500F0.EX,15/05/2020,19/06/2020,CALL,13350,0.7,28.88
296,/GDAX133500R0.EX,15/05/2020,19/06/2020,PUT ,13350,3036,31.24
297,/GDAX134000F0.EX,15/05/2020,19/06/2020,CALL,13400,0.6,29.27
298,/GDAX134000R0.EX,15/05/2020,19/06/2020,PUT ,13400,3086,31.46
299,/GDAX134500F0.EX,15/05/2020,19/06/2020,CALL,13450,0.6,29.35
300,/GDAX134500R0.EX,15/05/2020,19/06/2020,PUT ,13450,3136,31.84
301,/GDAX135000F0.EX,15/05/2020,19/06/2020,CALL,13500,0.6,29.4
302,/GDAX135000R0.EX,15/05/2020,19/06/2020,PUT ,13500,3186,32.22
303,/GDAX135500F0.EX,15/05/2020,19/06/2020,CALL,13550,0.6,29.78
304,/GDAX135500R0.EX,15/05/2020,19/06/2020,PUT ,13550,3236,32.6
305,/GDAX136000F0.EX,15/05/2020,19/06/2020,CALL,13600,0.5,30.16
306,/GDAX136000R0.EX,15/05/2020,19/06/2020,PUT ,13600,3286,32.97
307,/GDAX136500F0.EX,15/05/2020,19/06/2020,CALL,13650,0.5,30.15
308,/GDAX136500R0.EX,15/05/2020,19/06/2020,PUT ,13650,3336,33.34
309,/GDAX137000F0.EX,15/05/2020,19/06/2020,CALL,13700,0.5,30.52
310,/GDAX137000R0.EX,15/05/2020,19/06/2020,PUT ,13700,3386.1,33.71
